FIELD_NAME,DESCRIPTION,SHORT_DESC,GROUP,TYPE
CRIME_STALKING_HARASSMENT_WEIGHTED,Crime Stalking and Harassment,Stalking and Harrassment,IMD Underlying Indicators,DBL
CRIME_BURGLARY_WEIGHTED,Crime Burglary,Burglary,IMD Underlying Indicators,DBL
CRIME_THEFT_WEIGHTED,Crime Theft,Theft,IMD Underlying Indicators,DBL
CRIME_CRIMINAL_DAMAGE_WEIGHTED,Crime Criminal Damage,Criminal Damage,IMD Underlying Indicators,DBL
CRIME_PUBLIC_ORDER_WEIGHTED,Crime Public Order,Public Order,IMD Underlying Indicators,DBL
CRIME_ASB_WEIGHTED,Crime Antisocial Behaviour,Antisocial Behaviour,IMD Underlying Indicators,DBL
BARRIERS_CONNECTIVITY_WEIGHTED,Barriers Connectivity,Connectivity,IMD Underlying Indicators,DBL
BARRIERS_OWNER_OCCUPIER_AFFORDABILITY_WEIGHTED,Barriers Owner Occupier Affordability,Owner Affordability,IMD Underlying Indicators,DBL
BARRIERS_PRIVATE_RENTAL_AFFORDABILITY_WEIGHTED,Barriers Private Rental Affordability,Private Rental Affordability,IMD Underlying Indicators,DBL
BARRIERS_HOUSING_AFFORDABILITY_WEIGHTED,Barriers Housing Affordability,Housing Affordability,IMD Underlying Indicators,DBL
BARRIERS_DIGITAL_CONNECTIVITY_WEIGHTED,Barriers Digital Connectivity,Digitial Connectivity,IMD Underlying Indicators,DBL
BARRIERS_CORE_HOMELESSNESS_WEIGHTED,Barriers Core Homelessness,Core Homelessness,IMD Underlying Indicators,DBL
BARRIERS_PATIENT_TO_GP_WEIGHTED,Barriers Patient to GP Ratio,Patient to GP Ratio,IMD Underlying Indicators,DBL
BARRIERS_HOMELESSNESS_RATE_WEIGHTED,Barriers Homelessness Rate,Homelessness Rate,IMD Underlying Indicators,DBL
BARRIERS_OVERCROWDING_ROOMS_WEIGHTED,Barriers Overcrowding Rooms,Overcrowding Rooms,IMD Underlying Indicators,DBL
BARRIERS_OVERCROWDING_BEDROOMS_WEIGHTED,Barriers Overcrowding Bedrooms,Overcrowding Bedrooms,IMD Underlying Indicators,DBL
