FIELD_NAME,DESCRIPTION,SHORT_DESC,GROUP,TYPE
QOF_PCA_CAN005,"Personalised Care Adjustments for CAN005 - The percentage of patients with cancer, diagnosed within the preceding 12 months, who have had the opportunity for a discussion and informed of the support available from primary care, within 3 months of diagnosis.",PCA Rate CAN005,QOF Personalised Care Adjustments,PCT
QOF_PCA_CHD005,"Personalised Care Adjustments for CHD005 - The percentage of patients with coronary heart disease with a record in the preceding 12 months that aspirin, an alternative anti-platelet therapy, or an anti-coagulant is being taken ",PCA Rate CHD005,QOF Personalised Care Adjustments,PCT
QOF_PCA_CHD015,"Personalised Care Adjustments for CHD015 - The percentage of patients aged 79 years or under, with coronary heart disease, in whom the last blood pressure reading (measured in the preceding 12 months) is 140/90 mmHg or less (or equivalent home blood pressure reading)",PCA Rate CHD015,QOF Personalised Care Adjustments,PCT
QOF_PCA_CHD016,"Personalised Care Adjustments for CHD016 - The percentage of patients aged 80 years or over, with coronary heart disease, in whom the last blood pressure reading (measured in the preceding 12 months) is 150/90 mmHg or less (or equivalent home blood pressure reading)",PCA Rate CHD016,QOF Personalised Care Adjustments,PCT
QOF_PCA_CHOL003,"Personalised Care Adjustments for CHOL003 - Percentage of patients on the QOF Coronary Heart Disease (CHD), Peripheral Arterial Disease (PAD), Stroke/Transient Ischaemic Attack (TIA) or Chronic Kidney Disease (CKD) Register who are currently prescribed a statin, or where a statin is declined or clinically unsuitable, another lipid-lowering therapy",PCA Rate CHOL003,QOF Personalised Care Adjustments,PCT
QOF_PCA_CHOL004,"Personalised Care Adjustments for CHOL004 - Percentage of patients on the QOF Coronary Heart Disease (CHD), Peripheral Arterial Disease (PAD), or Stroke/Transient Ischaemic Attack (TIA) Register, who have a recording of LDL (Low-density Lipoprotein) cholesterol in the preceding 12 months that is 2.0 mmol/L or lower or where LDL cholesterol is not recorded a recording of non-HDL (High-density Lipoprotein) cholesterol in the preceding 12 months that is 2.6 mmol/L or lower.",PCA Rate CHOL004,QOF Personalised Care Adjustments,PCT
QOF_PCA_COPD010,"Personalised Care Adjustments for COPD010 - The percentage of patients with COPD, on the register, who have had a review in the preceding 12 months which included a record of the number of exacerbations and an assessment of breathlessness using the Medical Research Council dyspnoea scale",PCA Rate COPD010,QOF Personalised Care Adjustments,PCT
QOF_PCA_COPD014,"Personalised Care Adjustments for COPD014 - The percentage of patients with COPD and Medical Research Council (MRC) dyspnoea scale >=3 at any time in the preceding 12 months, with a subsequent record of referral to a pulmonary rehabilitation programme (excluding those who have previously attended a pulmonary rehabilitation programme)",PCA Rate COPD014,QOF Personalised Care Adjustments,PCT
QOF_PCA_CS005,Personalised Care Adjustments for CS005 - The percentage of women eligible for screening and aged 25-49 years at the end of the reporting period whose notes record that an adequate cervical screening test has been performed in the preceding 3 years and 6 months.,PCA Rate CS005,QOF Personalised Care Adjustments,PCT
QOF_PCA_CS006,Personalised Care Adjustments for CS006 - The percentage of women eligible for screening and aged 50-64 years at the end of the reporting period whose notes record that an adequate cervical screening test has been performed in the preceding 5 years and 6 months.,PCA Rate CS006,QOF Personalised Care Adjustments,PCT
QOF_PCA_DEM004,Personalised Care Adjustments for DEM004 - The percentage of patients diagnosed with dementia whose care plan has been reviewed in the preceding 12 months,PCA Rate DEM004,QOF Personalised Care Adjustments,PCT
QOF_PCA_DEP004,"Personalised Care Adjustments for DEP004 - The percentage of patients aged 18 or over with a new diagnosis of depression in the preceding 1 April to 31 March, who have been reviewed not earlier than 10 days after and not later than 56 days after the date of diagnosis",PCA Rate DEP004,QOF Personalised Care Adjustments,PCT
QOF_PCA_DM006,"Personalised Care Adjustments for DM006 - The percentage of patients with diabetes, on the register, with a diagnosis of nephropathy (clinical proteinuria) or micro-albuminuria who are currently treated with an ACE-I (or ARBs)",PCA Rate DM006,QOF Personalised Care Adjustments,PCT
QOF_PCA_DM012,"Personalised Care Adjustments for DM012 - The percentage of patients with diabetes, on the register, with a record of a foot examination and risk classification: 1) low risk (normal sensation, palpable pulses), 2) increased risk (neuropathy or absent pulses), 3) high risk (neuropathy or absent pulses plus deformity or skin changes in previous ulcer) or 4) ulcerated foot within the preceding 12 months",PCA Rate DM012,QOF Personalised Care Adjustments,PCT
QOF_PCA_DM014,"Personalised Care Adjustments for DM014 - The percentage of patients newly diagnosed with diabetes, on the register, in the preceding 1 April to 31 March who have a record of being referred to a structured education programme within 9 months after entry on to the diabetes register",PCA Rate DM014,QOF Personalised Care Adjustments,PCT
QOF_PCA_DM020,"Personalised Care Adjustments for DM020 - The percentage of patients with diabetes, on the register, without moderate or severe frailty in whom the last IFCC-HbA1c is 58 mmol/mol or less in the preceding 12 months.",PCA Rate DM020,QOF Personalised Care Adjustments,PCT
QOF_PCA_DM021,"Personalised Care Adjustments for DM021 - The percentage of patients with diabetes, on the register, with moderate or severe frailty in whom the last IFCC-HbA1c is 75 mmol/mol or less in the preceding 12 months.",PCA Rate DM021,QOF Personalised Care Adjustments,PCT
QOF_PCA_DM022,"Personalised Care Adjustments for DM022 - The percentage of patients with diabetes, on the register, aged 40 years or over, with no history of CVD and without moderate or severe frailty, who are currently treated with a statin (excluding patients with type 2 diabetes and a CVD risk score of <10% recorded in the preceding 3 years).",PCA Rate DM022,QOF Personalised Care Adjustments,PCT
QOF_PCA_DM023,"Personalised Care Adjustments for DM023 - The percentage of patients with diabetes, on the register, and a history of CVD (excluding haemorrhagic stroke) who are currently treated with a statin.",PCA Rate DM023,QOF Personalised Care Adjustments,PCT
QOF_PCA_DM033,"Personalised Care Adjustments for DM033 - The percentage of patients with diabetes, on the register, without moderate or severe frailty in whom the last blood pressure reading (measured in the preceding 12 months) is 140/90 mmHg or less (or equivalent home blood pressure reading)",PCA Rate DM033,QOF Personalised Care Adjustments,PCT
QOF_PCA_HF003,Personalised Care Adjustments for HF003 - In those patients with a diagnosis of heart failure due to left ventricular systolic dysfunction or whose heart failure is due to reduced ejection fraction the percentage of patients who are currently treated with an angiotensin-converting enzyme inhibitor (ACE-I) or Angiotensin II receptor blockers (ARB),PCA Rate HF003,QOF Personalised Care Adjustments,PCT
QOF_PCA_HF006,"Personalised Care Adjustments for HF006 - The percentage of patients with a diagnosis of heart failure due to left ventricular systolic dysfunction or whose heart failure is due to reduced ejection fracture fraction, who are currently treated with a beta-blocker licensed for heart failure",PCA Rate HF006,QOF Personalised Care Adjustments,PCT
QOF_PCA_HF007,"Personalised Care Adjustments for HF007 - The percentage of patients with a diagnosis of heart failure on the register, who have had a review in the preceding 12 months, including an assessment of functional capacity and a review of medication to ensure medicines optimisation at maximal tolerated doses",PCA Rate HF007,QOF Personalised Care Adjustments,PCT
QOF_PCA_HF008,"Personalised Care Adjustments for HF008 - The percentage of patients with a diagnosis of heart failure on or after 1 April 2023 which:   1. Has been confirmed by an echocardiogram or by specialist assessment in the 6 months before entering on to the register; or 2. If registered at the practice after diagnosis, with no record of the diagnosis originally being confirmed either by echocardiogram or by specialist assessment, a record of an echocardiogram or a specialist assessment within 6 months of the date of registration. ",PCA Rate HF008,QOF Personalised Care Adjustments,PCT
QOF_PCA_HYP008,Personalised Care Adjustments for HYP008 - The percentage of patients aged 79 years or under with hypertension in whom the last blood pressure reading (measured in the preceding 12 months) is 140/90 mmHg or less (or equivalent home blood pressure reading),PCA Rate HYP008,QOF Personalised Care Adjustments,PCT
QOF_PCA_HYP009,"Personalised Care Adjustments for HYP009 - The percentage of patients aged 80 years or over, with hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is 150/90 mmHg or less (or equivalent home blood pressure reading)",PCA Rate HYP009,QOF Personalised Care Adjustments,PCT
QOF_PCA_MH002,"Personalised Care Adjustments for MH002 - The percentage of patients with schizophrenia, bipolar affective disorder and other psychoses who have a comprehensive care plan documented in the record, in the preceding 12 months, agreed between individuals, their family and/or carers as appropriate",PCA Rate MH002,QOF Personalised Care Adjustments,PCT
QOF_PCA_MH003,"Personalised Care Adjustments for MH003 - The percentage of patients with schizophrenia, bipolar affective disorder and other psychoses who have a record of blood pressure in the preceding 12 months",PCA Rate MH003,QOF Personalised Care Adjustments,PCT
QOF_PCA_MH006,"Personalised Care Adjustments for MH006 - The percentage of patients with schizophrenia, bipolar affective disorder and other psychoses who have a record of BMI in the preceding 12 months.",PCA Rate MH006,QOF Personalised Care Adjustments,PCT
QOF_PCA_MH007,"Personalised Care Adjustments for MH007 - The percentage of patients with schizophrenia, bipolar affective disorder and other psychoses who have a record of alcohol consumption in the preceding 12 months",PCA Rate MH007,QOF Personalised Care Adjustments,PCT
QOF_PCA_MH011,"Personalised Care Adjustments for MH011 - The percentage of patients with schizophrenia, bipolar affective disorder and other psychoses who have a record of a lipid profile in the preceding 12 months (in those patients currently prescribed antipsychotics, and/or have pre-existing cardiovascular conditions, and/or smoke, and/or are overweight (BMI of >= 23 kg/m2 or >= 25 kg/m2 if ethnicity is recorded as White)) or preceding 24 months for all other patients",PCA Rate MH011,QOF Personalised Care Adjustments,PCT
QOF_PCA_MH012,"Personalised Care Adjustments for MH012 - The percentage of patients with schizophrenia, bipolar affective disorder and other psychoses who have a record of blood glucose or HbA1c in the preceding 12 months",PCA Rate MH012,QOF Personalised Care Adjustments,PCT
QOF_PCA_MH021,"Personalised Care Adjustments for MH021 - Percentage of patients with schizophrenia, bipolar affective disorder and other psychoses who received all six elements of the Physical Health Check for people with Severe Mental Illness",PCA Rate MH021,QOF Personalised Care Adjustments,PCT
QOF_PCA_NDH002,Personalised Care Adjustments for NDH002 - The percentage of patients with non-diabetic hyperglycaemia who have had an HbA1c or fasting blood glucose performed in the preceding 12 months,PCA Rate NDH002,QOF Personalised Care Adjustments,PCT
QOF_PCA_SMOK002,"Personalised Care Adjustments for SMOK002 - The percentage of patients with any or any combination of the following conditions: CHD, PAD, stroke or TIA, hypertension, diabetes, COPD, CKD, asthma, schizophrenia, bipolar affective disorder or other psychoses whose notes record smoking status in the preceding 12 months",PCA Rate SMOK002,QOF Personalised Care Adjustments,PCT
QOF_PCA_SMOK004,Personalised Care Adjustments for SMOK004 - The percentage of patients aged 15 or over who are recorded as current smokers who have a record of an offer of support and treatment within the preceding 24 months,PCA Rate SMOK004,QOF Personalised Care Adjustments,PCT
QOF_PCA_SMOK005,"Personalised Care Adjustments for SMOK005 - The percentage of patients with any or any combination of the following conditions: CHD, PAD, stroke or TIA, hypertension, diabetes, COPD, CKD, asthma, schizophrenia, bipolar affective disorder or other psychoses who are recorded as current smokers who have a record of an offer of support and treatment within the preceding 12 months",PCA Rate SMOK005,QOF Personalised Care Adjustments,PCT
QOF_PCA_STIA007,"Personalised Care Adjustments for STIA007 - The percentage of patients with a stroke shown to be non-haemorrhagic, or a history of TIA, who have a record in the preceding 12 months that an anti-platelet agent, or an anti-coagulant is being taken ",PCA Rate STIA007,QOF Personalised Care Adjustments,PCT
QOF_PCA_STIA014,"Personalised Care Adjustments for STIA014 - The percentage of patients aged 79 years or under, with a history of stroke or TIA, in whom the last blood pressure reading (measured in the preceding 12 months) is 140/90 mmHg or less (or equivalent home blood pressure reading)",PCA Rate STIA014,QOF Personalised Care Adjustments,PCT
QOF_PCA_STIA015,"Personalised Care Adjustments for STIA015 - The percentage of patients aged 80 years or over, with a history of stroke or TIA, in whom the last blood pressure reading (measured in the preceding 12 months) is 150/90 mmHg or less (or equivalent home blood pressure reading)",PCA Rate STIA015,QOF Personalised Care Adjustments,PCT
QOF_PCA_VI001,"Personalised Care Adjustments for VI001 - The percentage of babies who reached 8 months old in the preceding 12 months, who have received at least 3 doses of a diphtheria, tetanus and pertussis containing vaccine before the age of 8 months ",PCA Rate VI001,QOF Personalised Care Adjustments,PCT
QOF_PCA_VI002,"Personalised Care Adjustments for VI002 - The percentage of children who reached 18 months old in the preceding 12 months, who have received at least 1 dose of MMR between the ages of 12 and 18 months ",PCA Rate VI002,QOF Personalised Care Adjustments,PCT
QOF_PCA_VI003,"Personalised Care Adjustments for VI003 - The percentage of children who reached 5 years old in the preceding 12 months, who have received a reinforcing dose of DTaP/IPV and at least 2 doses of MMR between the ages of 1 and 5 years. ",PCA Rate VI003,QOF Personalised Care Adjustments,PCT
QOF_PCA_VI004,"Personalised Care Adjustments for VI004 - The percentage of patients who reached 80 years old in the preceding 12 months, who have received a shingles vaccine between the ages of 70 and 79 years.",PCA Rate VI004,QOF Personalised Care Adjustments,PCT
